(current_cut)_Total_COIN_Triggers,(current_cut)_Total_HMS_EL-REAL_Triggers,(current_cut)_Total_SHMS_3/4_Triggers,Accepted_COIN_Triggers,Accepted_HMS_Triggers,Accepted_SHMS_Triggers,BCM2_Beam_Cut_Charge,BCM2_Beam_Cut_Current,BCM2_Charge,BCM2_Current,BCM_Cut_HMS_Run_Length,BCM_Cut_SHMS_Run_Length,Beam_Energy,COIN_CPULT,COIN_CPULT_ERROR,COIN_Trigger_Rate,EDTM_Accepted_Triggers,HMS_Angle,HMS_CPULT,HMS_CPULT_ERROR,HMS_Cal_ALL_Elec_Eff,HMS_Cal_ALL_Elec_Eff_ERROR,HMS_Cal_COIN_Elec_Eff,HMS_Cal_COIN_Elec_Eff_ERROR,HMS_Cal_SING_Elec_Eff,HMS_Cal_SING_Elec_Eff_ERROR,HMS_Cer_ALL_Elec_Eff,HMS_Cer_ALL_Elec_Eff_ERROR,HMS_Cer_COIN_Elec_Eff,HMS_Cer_COIN_Elec_Eff_ERROR,HMS_Cer_SING_Elec_Eff,HMS_Cer_SING_Elec_Eff_ERROR,HMS_EL-REAL_Trigger_Rate,HMS_Elec_ALL_TRACK_EFF,HMS_Elec_ALL_TRACK_EFF_ERROR,HMS_Elec_COIN_TRACK_EFF,HMS_Elec_COIN_TRACK_EFF_ERROR,HMS_Elec_SING_TRACK_EFF,HMS_Elec_SING_TRACK_EFF_ERROR,HMS_Hodo_3_of_4_EFF,HMS_Hodo_4_of_4_EFF,HMS_Hodo_Plane_1,HMS_Hodo_Plane_2,HMS_Hodo_Plane_3,HMS_Hodo_Plane_4,HMS_Hodo_S1XY,HMS_Hodo_S2XY,HMS_Hodoscope_S1X_Rate,HMS_Hodoscope_S1X_Triggers,HMS_P_Central,HMS_Particle_Mass,HMS_Run_Length,Non_Scaler_EDTM_Live_Time,Non_Scaler_EDTM_Live_Time_Corr,Non_Scaler_EDTM_Live_Time_Corr_ERROR,Non_Scaler_EDTM_Live_Time_ERROR,Pre-Scaled_COIN_Triggers,Pre-Scaled_HMS_EL-REAL_Triggers,Pre-Scaled_SHMS_3/4_Triggers,Ps1_factor,Ps2_factor,Ps3_factor,Ps4_factor,Ps5_factor,Ps6_factor,Run_Number,SHMS_3/4_Trigger_Rate,SHMS_Aero_ALL_Prot_Eff,SHMS_Aero_ALL_Prot_Eff_ERROR,SHMS_Aero_COIN_Prot_Eff,SHMS_Aero_COIN_Prot_Eff_ERROR,SHMS_Aero_SING_Prot_Eff,SHMS_Aero_SING_Prot_Eff_ERROR,SHMS_Angle,SHMS_CPULT,SHMS_CPULT_ERROR,SHMS_HGC_ALL_Prot_Eff,SHMS_HGC_ALL_Prot_Eff_ERROR,SHMS_HGC_COIN_Prot_Eff,SHMS_HGC_COIN_Prot_Eff_ERROR,SHMS_HGC_SING_Prot_Eff,SHMS_HGC_SING_Prot_Eff_ERROR,SHMS_Hadron_ALL_TRACK_EFF,SHMS_Hadron_ALL_TRACK_EFF_ERROR,SHMS_Hodo_3_of_4_EFF,SHMS_Hodo_4_of_4_EFF,SHMS_Hodo_Plane_1,SHMS_Hodo_Plane_2,SHMS_Hodo_Plane_3,SHMS_Hodo_Plane_4,SHMS_Hodo_S1XY,SHMS_Hodo_S2XY,SHMS_Hodoscope_S1X_Rate,SHMS_Hodoscope_S1X_Triggers,SHMS_P_Central,SHMS_Particle_Mass,SHMS_Prot_ALL_TRACK_EFF,SHMS_Prot_ALL_TRACK_EFF_ERROR,SHMS_Prot_COIN_TRACK_EFF,SHMS_Prot_COIN_TRACK_EFF_ERROR,SHMS_Prot_SING_TRACK_EFF,SHMS_Prot_SING_TRACK_EFF_ERROR,SHMS_Run_Length,Target_Mass_(amu),Total_COIN_Triggers,Total_HMS_EL-REAL_Triggers,Total_SHMS_3/4_Triggers
26374.0,150817.0,5907419.0,41048.0,166071.0,388443.0,74.284,32.445,74.604,19.837,2289.522,2289.512,10.546755,1.0001,0.0,0.012,37480.0,21.655,1.0,0.0001,0.9842,0.0006,0.9973,0.001,0.9831,0.0007,0.9973,0.0003,0.9925,0.0016,0.9977,0.0003,0.066,0.9959,0.0004,0.9969,0.0011,0.9959,0.0004,0.99768,0.789897,0.999007,0.998128,0.991398,0.799038,0.999998,0.998271,48.048,110007150.0,5.878,0.000511,2289.522,1.0001,1.0001,0.0,0.0,0.0,0.0,1188120.0,5.0,1.0,1.0,0.0,0.0,1.0,14986.0,2.58,0.3762,0.0068,0.425,0.0095,0.3215,0.0095,23.11,0.0654,0.0001,0.8764,0.007,0.9923,0.0026,0.7466,0.0135,0.7806,0.0026,0.924715,0.54313,0.977394,0.959051,0.827969,0.699806,0.999074,0.948357,92.637,212094123.0,5.53,0.938272,0.9876,0.0028,0.9927,0.0026,0.9765,0.0067,2289.512,1.007276,26374.0,150817.0,5907419.0
29517.0,177738.0,7054243.0,45943.0,194606.0,460395.0,88.493,34.898,88.743,21.226,2535.773,2533.772,10.546755,1.0001,0.0,0.012,41666.0,21.655,1.0,0.0001,0.9845,0.0006,0.9965,0.001,0.9835,0.0006,0.9971,0.0003,0.9951,0.0012,0.9973,0.0003,0.07,0.9956,0.0004,0.9955,0.0012,0.9956,0.0004,0.997806,0.793642,0.999047,0.997618,0.992311,0.802466,0.999998,0.998481,51.683,131055659.0,5.878,0.000511,2535.773,1.0001,1.0001,0.0,0.0,0.0,0.0,1416708.0,5.0,1.0,1.0,0.0,0.0,1.0,14987.0,2.784,0.38,0.0062,0.4346,0.0087,0.3197,0.0086,23.11,0.065,0.0001,0.8775,0.0063,0.9951,0.0019,0.7455,0.0122,0.786,0.0023,0.922975,0.537687,0.978464,0.955661,0.829665,0.693072,0.999045,0.947719,99.625,252426733.0,5.53,0.938272,0.9959,0.0015,0.9985,0.0011,0.99,0.004,2533.772,1.007276,29517.0,177738.0,7054243.0
33998.0,210234.0,8352485.0,40581.0,217157.0,531240.0,104.768,36.06,104.975,29.424,2905.386,2907.397,10.546755,1.0,0.0,0.012,35554.0,21.655,1.0,0.0001,0.9848,0.0005,0.9971,0.0008,0.9839,0.0006,0.9974,0.0002,0.9959,0.001,0.9975,0.0002,0.072,0.9971,0.0003,0.9981,0.0007,0.997,0.0003,0.997713,0.787322,0.99886,0.997692,0.992312,0.796165,0.999997,0.998433,53.607,155747696.0,5.878,0.000511,2905.386,1.0,1.0,0.0,0.0,0.0,0.0,1674367.0,5.0,1.0,1.0,0.0,0.0,1.0,14988.0,2.873,0.3709,0.0056,0.4218,0.0079,0.3137,0.0079,23.11,0.0635,0.0001,0.8761,0.0059,0.9957,0.0016,0.7437,0.0114,0.785,0.0022,0.923359,0.536944,0.979165,0.956643,0.83096,0.689832,0.999097,0.947569,102.712,298625460.0,5.53,0.938272,0.9951,0.0015,0.9961,0.0016,0.9931,0.0031,2907.397,1.007276,33998.0,210234.0,8352485.0
13238.0,80687.0,3204237.0,36856.0,104698.0,225304.0,40.191,35.754,40.432,11.572,1124.109,1124.109,10.546755,1.0,0.0,0.012,34820.0,21.655,0.9999,0.0001,0.9848,0.0008,0.9988,0.0008,0.9836,0.0009,0.997,0.0004,0.997,0.0013,0.997,0.0004,0.072,0.9961,0.0005,1.0,0.0,0.9957,0.0005,0.997847,0.790242,0.998209,0.998059,0.993122,0.798692,0.999997,0.998615,52.937,59507031.0,5.878,0.000511,1124.109,1.0001,1.0001,0.0,0.0,0.0,0.0,647407.0,5.0,1.0,1.0,0.0,0.0,1.0,14989.0,2.85,0.3723,0.0091,0.4172,0.0124,0.3165,0.0131,23.11,0.0696,0.0001,0.8849,0.0092,0.9955,0.0026,0.7481,0.0187,0.7902,0.0034,0.925311,0.546881,0.977727,0.957267,0.827079,0.706473,0.999048,0.949243,101.756,114385172.0,5.53,0.938272,0.9919,0.003,0.995,0.0029,0.9848,0.0075,1124.109,1.007276,13238.0,80687.0,3204237.0
37570.0,239709.0,9638877.0,42781.0,245230.0,608889.0,120.699,38.025,120.901,32.735,3174.213,3172.128,10.546755,1.0003,0.0,0.012,36818.0,21.655,1.0,0.0001,0.9856,0.0005,0.9963,0.0009,0.9847,0.0005,0.9973,0.0002,0.9949,0.001,0.9975,0.0002,0.076,0.9935,0.0004,0.9924,0.0013,0.9936,0.0004,0.997653,0.789281,0.999298,0.997592,0.991547,0.798491,0.999998,0.998297,56.536,179457513.0,5.878,0.000511,3174.213,1.0004,1.0004,0.0,0.0,0.0,0.0,1931420.0,5.0,1.0,1.0,0.0,0.0,1.0,14991.0,3.039,0.3722,0.0053,0.4174,0.0073,0.3193,0.0075,23.11,0.0631,0.0001,0.8709,0.0056,0.9942,0.0017,0.7322,0.0108,0.7858,0.002,0.920804,0.534964,0.977823,0.955173,0.821863,0.69692,0.999006,0.94601,108.36,343731498.0,5.53,0.938272,0.9916,0.0018,0.9961,0.0015,0.9813,0.0048,3172.128,1.007276,37570.0,239709.0,9638877.0
12077.0,71274.0,2814078.0,20585.0,80008.0,185931.0,35.356,34.165,35.482,18.788,1034.84,1034.851,10.546755,1.0002,0.0,0.012,18821.0,21.655,1.0,0.0001,0.9857,0.0009,0.9986,0.001,0.9846,0.0009,0.9974,0.0004,0.9952,0.0018,0.9976,0.0004,0.069,0.9909,0.0008,0.9868,0.0032,0.9913,0.0008,0.997628,0.787369,0.999072,0.997823,0.991527,0.796569,0.999998,0.998276,50.985,52760993.0,5.878,0.000511,1034.84,1.0001,1.0001,0.0,0.0,0.0,0.0,565734.0,5.0,1.0,1.0,0.0,0.0,1.0,14992.0,2.719,0.3731,0.0096,0.4032,0.0133,0.3371,0.014,23.11,0.0657,0.0001,0.8653,0.0104,0.9946,0.0031,0.7292,0.0193,0.7804,0.0037,0.927297,0.550298,0.977735,0.957763,0.833834,0.704756,0.99906,0.95094,97.336,100727892.0,5.53,0.938272,0.986,0.0042,0.9943,0.0033,0.9695,0.0106,1034.851,1.007276,12077.0,71274.0,2814078.0
16918.0,45150.0,1314230.0,20691.0,49056.0,1320744.0,48.977,28.93,49.078,23.822,1692.932,1682.19,10.546755,1.0005,0.0,0.01,20541.0,21.655,1.0004,0.0,0.9501,0.0022,0.9897,0.0103,0.9498,0.0022,0.9978,0.0005,0.9896,0.0104,0.9979,0.0005,0.027,0.9959,0.0007,1.0,0.0,0.9958,0.0007,0.997543,0.782304,0.999305,0.998078,0.990899,0.79156,0.999999,0.998103,16.534,27991174.0,5.878,0.000511,1692.932,1.0006,1.0006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,14993.0,0.781,0.3638,0.0037,0.3462,0.0539,0.3639,0.0037,23.11,0.9998,0.0,0.8669,0.004,1.0,0.0,0.8664,0.0041,0.798,0.0013,0.928245,0.553364,0.976009,0.949179,0.849476,0.703167,0.998781,0.955319,33.357,56112454.0,5.53,0.938272,0.9931,0.001,1.0,0.0,0.9931,0.001,1682.19,1.007276,16918.0,45150.0,1314230.0
42056.0,256851.0,4451816.0,45520.0,153104.0,179576.0,91.026,63.551,91.046,51.105,1432.339,1441.071,5.988383,1.0,0.0,0.029,17755.0,29.17,0.5879,0.0001,0.9841,0.0005,0.9937,0.0005,0.9778,0.0007,0.9977,0.0002,0.998,0.0003,0.9975,0.0003,0.178,0.9979,0.0002,0.998,0.0003,0.9978,0.0003,0.998292,0.806556,0.998906,0.997773,0.994213,0.813952,0.999998,0.998923,52.83,75670958.0,3.271,0.000511,1432.339,0.9955,0.9955,0.0005,0.0005,0.0,260423.0,742782.0,6.0,1.0,1.0,1.0,0.0,1.0,13058.0,3.089,0.6942,0.0027,0.7021,0.0029,0.644,0.0075,27.495,0.0403,0.0001,0.9944,0.0005,0.9955,0.0005,0.9868,0.0022,0.9684,0.0009,0.988709,0.811801,0.986962,0.981279,0.945512,0.886522,0.999756,0.993817,110.387,159075592.0,3.493,0.938272,0.9965,0.0004,0.9965,0.0005,0.9961,0.001,1441.071,1.007276,42056.0,256851.0,4451816.0
57507.0,344192.0,5956557.0,67435.0,210928.0,246888.0,121.844,60.507,121.915,40.541,2013.737,2018.551,5.988383,1.0001,0.0,0.028,29969.0,29.17,0.5951,0.0001,0.9839,0.0004,0.9928,0.0005,0.978,0.0006,0.9978,0.0002,0.9981,0.0002,0.9976,0.0002,0.171,0.9975,0.0002,0.9973,0.0003,0.9977,0.0002,0.998573,0.81186,0.999251,0.997997,0.994956,0.818226,0.999999,0.999083,50.391,101473740.0,3.271,0.000511,2013.737,0.9977,0.9977,0.0002,0.0002,0.0,354446.0,995248.0,6.0,1.0,1.0,1.0,0.0,1.0,13061.0,2.951,0.6836,0.0023,0.694,0.0025,0.6182,0.0065,27.495,0.0413,0.0001,0.9945,0.0004,0.9953,0.0004,0.9899,0.0017,0.9696,0.0008,0.989522,0.818818,0.986554,0.981776,0.948688,0.891108,0.999755,0.994413,105.232,212415968.0,3.493,0.938272,0.9962,0.0004,0.9963,0.0004,0.9956,0.0009,2018.551,1.007276,57507.0,344192.0,5956557.0
7584.0,33035.0,660785.0,7824.0,20624.0,27640.0,28.227,38.547,28.23,37.324,732.274,737.437,5.988383,1.0,0.0,0.01,7537.0,29.17,0.6196,0.0002,0.9649,0.0025,0.9552,0.0139,0.9654,0.0026,0.9961,0.0009,1.0,0.0,0.9959,0.0009,0.045,0.9956,0.001,0.9946,0.0054,0.9957,0.001,0.997555,0.761161,0.998509,0.999363,0.991578,0.769263,0.999999,0.998057,13.933,10203092.0,3.271,0.000511,732.274,0.9931,0.9931,0.0009,0.0009,0.0,33284.0,110187.0,6.0,1.0,1.0,1.0,0.0,1.0,13062.0,0.896,0.6706,0.0107,0.6591,0.032,0.6721,0.0113,27.495,0.0418,0.0002,0.9969,0.0015,1.0,0.0,0.9965,0.0017,0.9701,0.003,0.980429,0.743451,0.987276,0.96879,0.943118,0.824173,0.999603,0.989999,30.377,22401352.0,3.493,0.938272,0.9968,0.0014,1.0,0.0,0.9965,0.0016,737.437,1.007276,7584.0,33035.0,660785.0
